,ID,Field,StarID,Type,Subtype,RA,DECL,ID_OGLE_II,ID_MACHO,ID_ASAS,ID_GCVS,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
634,OGLE-BLG-LPV-059627,BLG194.7,6724.0,LPV,OSARG,17.835264000000002,-29.55619,BUL_SC5_187349,-99.99,-99.99,-99.99,      ,15.43,20.745,35.195,-99.99,-99.99,0.006,-99.99,-99.99,-99.99,-99.99,110.19,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,362.2,-99.99,-99.99,0.011000000000000001,-99.99,-99.99,-99.99,-99.99,
635,OGLE-BLG-LPV-059637,BLG194.7,96878.0,LPV,OSARG,17.835278,-29.42447,-99.99,-99.99,-99.99,-99.99,      ,15.465,-99.99,39.976,-99.99,-99.99,0.033,-99.99,-99.99,-99.99,-99.99,49.263999999999996,-99.99,-99.99,0.03,-99.99,-99.99,-99.99,-99.99,28.843000000000004,-99.99,-99.99,0.027000000000000003,-99.99,-99.99,-99.99,-99.99,
636,OGLE-BLG-LPV-059642,BLG194.5,55357.0,LPV,Mira,17.835283,-29.12717,-99.99,-99.99,-99.99,-99.99,      ,17.645,-99.99,489.2,-99.99,-99.99,2.039,-99.99,-99.99,-99.99,-99.99,162.92,-99.99,-99.99,0.152,-99.99,-99.99,-99.99,-99.99,283.0,-99.99,-99.99,0.368,-99.99,-99.99,-99.99,-99.99,
637,OGLE-BLG-LPV-059643,BLG194.6,31172.0,LPV,OSARG,17.835289000000003,-29.35675,-99.99,-99.99,-99.99,-99.99,      ,15.119000000000002,20.368,15.202,-99.99,-99.99,0.009000000000000001,-99.99,-99.99,-99.99,-99.99,14.45,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,30.766,-99.99,-99.99,0.01,-99.99,-99.99,-99.99,-99.99,
638,OGLE-BLG-LPV-059657,BLG194.6,57302.0,LPV,SRV,17.835317,-29.323829999999997,-99.99,-99.99,-99.99,-99.99,      ,14.725,-99.99,207.8,-99.99,-99.99,0.41200000000000003,-99.99,-99.99,-99.99,-99.99,192.64,-99.99,-99.99,0.39899999999999997,-99.99,-99.99,-99.99,-99.99,209.9,-99.99,-99.99,0.142,-99.99,-99.99,-99.99,-99.99,
639,OGLE-BLG-LPV-059660,BLG194.8,126209.0,LPV,OSARG,17.835319000000002,-29.589640000000003,BUL_SC5_187267,-99.99,-99.99,-99.99,      ,15.362,21.155,21.788,-99.99,-99.99,0.012,-99.99,-99.99,-99.99,-99.99,29.945,-99.99,-99.99,0.016,-99.99,-99.99,-99.99,-99.99,96.79,-99.99,-99.99,0.013000000000000001,-99.99,-99.99,-99.99,-99.99,
640,OGLE-BLG-LPV-059665,BLG194.6,57338.0,LPV,OSARG,17.835328,-29.317890000000002,-99.99,-99.99,-99.99,-99.99,      ,16.077,-99.99,27.818,-99.99,-99.99,0.013999999999999999,-99.99,-99.99,-99.99,-99.99,209.0,-99.99,-99.99,0.019,-99.99,-99.99,-99.99,-99.99,38.827,-99.99,-99.99,0.013999999999999999,-99.99,-99.99,-99.99,-99.99,
641,OGLE-BLG-LPV-059666,BLG194.7,6727.0,LPV,OSARG,17.835331,-29.53258,BUL_SC5_194473,-99.99,-99.99,-99.99,      ,15.42,20.909000000000002,15.214,-99.99,-99.99,0.009000000000000001,-99.99,-99.99,-99.99,-99.99,95.64,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,15.366,-99.99,-99.99,0.005,-99.99,-99.99,-99.99,-99.99,
642,OGLE-BLG-LPV-059667,BLG194.6,57339.0,LPV,SRV,17.835331,-29.32672,-99.99,-99.99,-99.99,-99.99,      ,15.860999999999999,-99.99,63.61,-99.99,-99.99,0.063,-99.99,-99.99,-99.99,-99.99,72.1,-99.99,-99.99,0.05,-99.99,-99.99,-99.99,-99.99,46.707,-99.99,-99.99,0.045,-99.99,-99.99,-99.99,-99.99,
643,OGLE-BLG-LPV-059671,BLG194.7,96827.0,LPV,OSARG,17.835333,-29.435779999999998,-99.99,-99.99,-99.99,-99.99,      ,15.052,20.612,352.9,-99.99,-99.99,0.102,-99.99,-99.99,-99.99,-99.99,36.889,-99.99,-99.99,0.026000000000000002,-99.99,-99.99,-99.99,-99.99,42.535,-99.99,-99.99,0.022000000000000002,-99.99,-99.99,-99.99,-99.99,
644,OGLE-BLG-RRLYR-03881,BLG194.8,87647.0,RRLyr,RRab,17.835356,-29.617690000000003,BUL_SC5_487910,-99.99,-99.99,-99.99,-99.99,18.52,-99.99,0.47554898,3.9e-07,5000.15869,0.578,0.609,4.408,0.358,2.708,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
645,OGLE-BLG-LPV-059698,BLG194.8,126210.0,LPV,SRV,17.835378,-29.56375,BUL_SC5_187242,-99.99,-99.99,-99.99,      ,14.970999999999998,21.645,75.65,-99.99,-99.99,0.09,-99.99,-99.99,-99.99,-99.99,116.9,-99.99,-99.99,0.078,-99.99,-99.99,-99.99,-99.99,214.4,-99.99,-99.99,0.061,-99.99,-99.99,-99.99,-99.99,
646,OGLE-BLG-LPV-059704,BLG194.7,96882.0,LPV,OSARG,17.835383,-29.43419,-99.99,-99.99,-99.99,-99.99,      ,16.223,-99.99,68.69,-99.99,-99.99,0.075,-99.99,-99.99,-99.99,-99.99,122.2,-99.99,-99.99,0.068,-99.99,-99.99,-99.99,-99.99,253.7,-99.99,-99.99,0.047,-99.99,-99.99,-99.99,-99.99,
647,OGLE-BLG-LPV-059710,BLG194.7,6926.0,LPV,SRV,17.835392000000002,-29.52572,BUL_SC5_194645,-99.99,-99.99,-99.99,      ,16.67,-99.99,68.06,-99.99,-99.99,0.11,-99.99,-99.99,-99.99,-99.99,72.29,-99.99,-99.99,0.083,-99.99,-99.99,-99.99,-99.99,429.7,-99.99,-99.99,0.069,-99.99,-99.99,-99.99,-99.99,
