5288.86467 15.727 0.006
5293.82944 15.570 0.006
5294.81492 15.670 0.005
5296.85738 15.746 0.005
5298.92816 15.643 0.006
5301.84345 15.528 0.005
5306.77822 15.582 0.005
5308.79520 15.563 0.005
5312.92902 15.667 0.006
5314.90351 15.574 0.006
5316.78762 15.603 0.007
5320.74979 15.610 0.006
5321.89098 15.784 0.006
5323.80419 15.751 0.006
5324.93331 15.528 0.006
5326.77925 15.624 0.005
5327.92032 15.552 0.006
5334.76980 15.532 0.005
5336.81180 15.550 0.006
5338.90682 15.753 0.007
5340.85418 15.609 0.007
5342.61372 15.678 0.007
5343.64455 15.554 0.006
5348.78489 15.558 0.006
5350.71116 15.560 0.006
5353.69350 15.567 0.005
5355.86592 15.632 0.007
5361.65811 15.742 0.007
5365.69999 15.608 0.006
5378.61267 15.542 0.005
5380.64555 15.567 0.005
5382.79588 15.572 0.007
5385.53344 15.721 0.005
5385.63290 15.749 0.005
5385.73525 15.800 0.006
5388.71866 15.805 0.006
5391.81360 15.748 0.006
5397.68142 15.647 0.006
5405.63517 15.717 0.007
5409.47504 15.806 0.006
5413.51129 15.679 0.005
5422.55336 15.586 0.006
5433.68107 15.570 0.006
5439.57304 15.520 0.006
5447.50709 15.628 0.005
5457.56428 15.671 0.006
5465.51868 15.717 0.007
5472.59298 15.623 0.006
5490.52586 15.795 0.007
5602.85534 15.576 0.005
5604.86323 15.617 0.006
5605.85939 15.579 0.005
5606.85942 15.808 0.006
5607.86253 15.573 0.005
5608.85353 15.586 0.006
5611.84913 15.583 0.006
5612.85839 15.833 0.006
5613.89320 15.614 0.007
5615.84993 15.829 0.006
5616.84405 15.579 0.006
5621.83505 15.838 0.006
5622.82303 15.648 0.005
5624.77941 15.535 0.005
5626.83826 15.666 0.006
5628.77941 15.771 0.007
5629.77486 15.687 0.006
5631.83974 15.530 0.006
5632.86888 15.670 0.006
5633.76804 15.551 0.005
5635.80093 15.572 0.006
5637.77970 15.734 0.007
5638.90941 15.585 0.005
5639.76577 15.588 0.006
5642.77764 15.702 0.006
5647.76423 15.564 0.005
5649.80015 15.533 0.005
5654.80555 15.636 0.005
5658.86353 15.665 0.005
5662.91655 15.737 0.005
5668.82001 15.543 0.005
5675.80353 15.611 0.005
5679.90118 15.777 0.005
5682.92774 15.585 0.005
5686.81896 15.604 0.005
5692.66980 15.588 0.005
5694.84352 15.647 0.005
5697.70296 15.521 0.005
5702.59209 15.648 0.007
5702.77092 15.708 0.008
5706.87832 15.584 0.006
5710.85230 15.567 0.005
5715.86630 15.565 0.005
5722.83738 15.566 0.005
5726.53338 15.718 0.007
5735.68399 15.611 0.006
5737.79594 15.576 0.005
5740.65308 15.693 0.006
5742.68363 15.757 0.005
5745.73050 15.584 0.005
5749.51905 15.814 0.006
5760.57807 15.521 0.005
5765.54428 15.783 0.006
5768.79727 15.623 0.006
5777.67539 15.557 0.005
5784.49153 15.703 0.007
5784.62270 15.616 0.006
5786.48299 15.616 0.006
5790.59378 15.733 0.006
5794.69431 15.569 0.005
5803.52872 15.693 0.006
5815.51048 15.652 0.005
5819.54579 15.741 0.006
5824.56155 15.710 0.005
5829.53885 15.599 0.005
5833.59544 15.637 0.006
5841.53274 15.575 0.006
5845.57438 15.628 0.007
5854.53130 15.782 0.007
5972.88525 15.727 0.006
5984.89529 15.622 0.005
5990.82992 15.618 0.005
5995.77155 15.734 0.006
5999.82413 15.676 0.006
6002.77424 15.562 0.006
6002.89557 15.550 0.005
6003.86088 15.553 0.006
6007.80078 15.538 0.005
6010.83663 15.704 0.005
6013.91522 15.555 0.005
6016.91780 15.610 0.005
6019.90191 15.566 0.005
6022.79452 15.572 0.005
6025.72063 15.778 0.007
6032.92224 15.582 0.005
6037.74632 15.507 0.005
6040.90095 15.770 0.005
6048.76926 15.548 0.004
6051.67046 15.600 0.005
6057.70022 15.792 0.006
6057.85952 15.537 0.005
6058.65516 15.756 0.006
6061.84369 15.676 0.005
6064.83522 15.661 0.005
6067.60040 15.590 0.005
6069.69500 15.646 0.004
6071.67267 15.636 0.005
6076.70676 15.710 0.005
6078.84596 15.714 0.005
6080.80642 15.700 0.005
6086.60244 15.582 0.005
6089.66022 15.770 0.005
6093.83530 15.820 0.006
6096.88939 15.540 0.006
6100.52017 15.539 0.005
6101.84117 15.709 0.006
6103.74124 15.574 0.005
6105.69963 15.757 0.005
6113.71467 15.790 0.006
6115.68963 15.550 0.005
6117.69815 15.657 0.005
6119.63628 15.575 0.005
6121.64875 15.758 0.005
6124.71442 15.647 0.005
6126.77628 15.797 0.006
6132.61553 15.589 0.005
6135.67856 15.563 0.005
6140.67757 15.791 0.006
6147.62427 15.745 0.006
6151.61243 15.601 0.005
6158.55647 15.595 0.005
6161.63985 15.775 0.006
6169.54863 15.803 0.006
6175.66049 15.640 0.006
6182.64606 15.550 0.005
6191.50477 15.528 0.006
6198.59691 15.619 0.007
6210.52317 15.596 0.005
6217.51695 15.569 0.005
6347.87497 15.649 0.005
6354.89548 15.541 0.005
6363.80388 15.593 0.005
6370.89361 15.764 0.005
6375.82406 15.722 0.005
6375.84238 15.601 0.004
6378.90026 15.753 0.005
6382.78599 15.674 0.007
6388.79049 15.570 0.005
6391.71978 15.652 0.006
6395.84073 15.599 0.004
6398.83543 15.602 0.005
6401.88015 15.640 0.005
6408.82850 15.660 0.006
6417.74551 15.710 0.005
6423.65172 15.562 0.005
6426.84539 15.636 0.004
6434.67451 15.530 0.005
6436.72205 15.549 0.005
6442.61615 15.625 0.005
6445.69082 15.526 0.005
6447.67928 15.744 0.005
6449.61499 15.665 0.005
6451.54538 15.643 0.006
6454.54274 15.611 0.005
6456.72521 15.597 0.004
6458.85854 15.556 0.005
6461.61540 15.545 0.005
6463.76036 15.532 0.005
6473.75498 15.744 0.005
6475.70687 15.663 0.005
