5260.85336 19.158 0.050
5260.90029 18.975 0.042
5261.79151 19.016 0.052
5262.82995 19.016 0.132
5264.81438 19.135 0.054
5264.86761 19.042 0.045
5264.88488 19.140 0.047
5265.79053 19.031 0.043
5266.77867 19.019 0.049
5267.82049 18.960 0.038
5268.79175 18.891 0.040
5269.78659 19.022 0.037
5270.83098 19.049 0.035
5271.78605 18.978 0.039
5272.79290 19.066 0.047
5273.84752 19.215 0.043
5274.79627 19.036 0.044
5275.78200 19.186 0.056
5275.91321 18.982 0.054
5276.81684 19.097 0.037
5277.78307 19.098 0.041
5277.91208 19.086 0.048
5278.79310 18.980 0.043
5279.79366 19.146 0.061
5279.91738 19.078 0.054
5280.84535 18.987 0.033
5281.78084 19.026 0.039
5281.91750 19.091 0.056
5282.76133 19.012 0.048
5282.90601 19.132 0.039
5283.76251 19.237 0.074
5284.76449 18.965 0.053
5285.76013 19.153 0.073
5285.88949 19.126 0.049
5286.75136 19.061 0.060
5287.82100 19.141 0.046
5288.75436 19.072 0.054
5292.82453 19.144 0.079
5293.83250 18.990 0.038
5294.73371 19.199 0.043
5294.77287 18.928 0.029
5294.80995 19.027 0.029
5294.87767 18.947 0.025
5294.91964 19.031 0.038
5295.77456 19.070 0.034
5295.81298 19.067 0.034
5295.85088 18.912 0.028
5295.88972 18.981 0.032
5296.77747 19.116 0.037
5296.81499 18.921 0.027
5296.85240 19.131 0.031
5296.89087 18.962 0.029
5297.77338 18.974 0.032
5297.81144 19.098 0.034
5297.84931 19.013 0.028
5297.88800 18.931 0.029
5298.77428 19.225 0.042
5298.81220 18.955 0.032
5298.84997 18.958 0.033
5298.88952 19.140 0.033
5298.92302 18.929 0.037
5299.91352 19.025 0.033
5300.86771 18.925 0.029
5300.90848 19.235 0.043
5301.76353 19.195 0.041
5301.80103 18.934 0.032
5301.83849 19.024 0.039
5301.87720 19.126 0.040
5301.91698 19.053 0.056
5304.76317 19.173 0.049
5306.69682 18.924 0.040
5306.75956 19.150 0.039
5306.79853 18.948 0.030
5306.86215 19.099 0.036
5306.90174 19.038 0.031
5307.68653 18.957 0.039
5307.74961 18.987 0.037
5307.81109 18.959 0.031
5307.84957 19.015 0.034
5307.89046 18.942 0.032
5307.92789 19.055 0.047
5308.73973 18.955 0.040
5308.80123 19.140 0.037
5308.83870 18.957 0.032
5308.88659 19.015 0.033
5309.74043 19.091 0.040
5309.81092 18.995 0.035
5309.85465 19.178 0.041
5309.89362 18.981 0.033
5309.93089 18.978 0.046
5310.72128 19.253 0.054
5310.77757 18.929 0.040
5310.85893 19.067 0.031
5310.89089 19.018 0.034
5310.92835 19.095 0.043
5311.82142 18.954 0.038
5311.87745 19.055 0.040
5311.92227 19.040 0.043
5312.74745 19.205 0.057
5312.78983 19.029 0.047
5312.82786 19.059 0.054
5312.87211 18.997 0.046
5312.91171 19.024 0.043
5313.78387 18.921 0.059
5313.82273 19.022 0.057
5313.86240 18.984 0.060
5313.90063 19.225 0.059
5314.67151 19.172 0.082
5314.71197 19.007 0.067
5314.75125 19.102 0.060
5314.79118 18.992 0.060
5314.84872 19.033 0.056
5314.88615 19.162 0.056
5314.92359 18.903 0.044
5315.68901 19.120 0.073
5315.73693 18.968 0.064
5315.77447 18.975 0.062
5315.81220 19.099 0.054
5315.85238 18.950 0.055
5315.89451 18.864 0.050
5316.68015 19.173 0.087
5316.72730 18.877 0.056
5316.77034 19.002 0.069
5316.80769 19.265 0.096
5316.86456 19.185 0.087
5320.64247 18.911 0.044
5320.68705 18.878 0.043
5320.73097 19.049 0.045
5320.76818 19.008 0.046
5320.80590 18.968 0.056
5320.84912 19.088 0.047
5320.88751 18.899 0.038
5320.92908 19.077 0.059
5321.71528 19.134 0.050
5321.75273 19.022 0.045
5321.79238 19.352 0.067
5321.83078 19.016 0.059
5321.87208 19.357 0.063
5321.90947 19.063 0.050
5322.69576 18.974 0.039
5323.66592 19.083 0.056
5323.73217 19.089 0.053
5323.77046 19.032 0.043
5323.81056 19.196 0.050
5323.85184 18.993 0.041
5323.89043 18.988 0.043
5323.92789 19.100 0.045
5324.70432 18.999 0.049
5324.74345 19.081 0.041
5324.78085 19.098 0.047
5324.82098 18.973 0.043
5324.85991 19.137 0.047
5324.89727 19.097 0.043
5324.93783 18.981 0.067
5325.68754 18.968 0.037
5325.72404 19.157 0.038
5325.76221 18.976 0.034
5325.79950 18.967 0.033
5325.84775 19.188 0.045
5325.88781 18.877 0.035
5325.92829 19.249 0.061
5326.63560 18.970 0.048
5326.72205 19.058 0.043
5326.76011 18.981 0.037
5326.79851 19.111 0.036
5326.83783 19.003 0.037
5326.87648 18.993 0.041
5326.91372 19.168 0.048
5327.64480 19.166 0.036
5327.74700 19.185 0.040
5327.78548 19.071 0.041
5327.82433 19.239 0.048
5327.86320 19.099 0.043
5327.90138 18.925 0.036
5327.93912 18.969 0.074
5328.67215 19.015 0.037
5328.74072 19.157 0.043
5328.77929 19.013 0.037
5328.81926 19.113 0.044
5328.85785 18.966 0.038
5328.89553 19.074 0.043
5328.93302 18.908 0.050
5334.61842 18.994 0.047
5334.68455 19.316 0.087
5334.76488 19.013 0.034
5334.82221 18.957 0.035
5334.86276 18.936 0.039
5334.90329 19.133 0.053
5334.94125 18.991 0.077
5335.74763 19.176 0.041
5335.78679 18.894 0.033
5335.82682 19.108 0.041
5335.86466 19.115 0.042
5335.90219 19.030 0.052
5335.94126 18.987 0.081
5336.84609 18.990 0.039
5336.91133 19.168 0.050
5337.75771 19.184 0.042
5337.79713 18.904 0.035
5337.83554 18.925 0.044
5337.87389 19.203 0.069
5337.91253 19.066 0.058
5338.75498 19.082 0.047
5338.79417 19.141 0.062
5338.83580 19.132 0.077
5338.89539 19.013 0.075
5339.67063 19.113 0.062
5339.70836 19.052 0.052
5339.80197 19.029 0.049
5339.86775 19.022 0.057
5339.90795 19.218 0.094
5339.94580 18.958 0.083
5340.65453 18.946 0.056
5340.69390 18.876 0.044
5340.78121 18.985 0.048
5340.83676 19.002 0.043
5340.87518 19.121 0.060
5340.91296 19.101 0.091
5341.58699 18.932 0.060
5341.62522 19.032 0.046
5341.73171 19.092 0.040
5341.80601 19.092 0.045
5341.84420 19.069 0.047
5341.88201 18.946 0.039
5341.92239 19.107 0.048
5342.59661 19.164 0.090
5342.63395 19.059 0.082
5342.67157 19.271 0.070
5342.70902 18.892 0.044
5342.74756 18.986 0.049
5342.79172 19.263 0.075
5342.82977 18.961 0.048
5342.86773 19.051 0.066
5342.90552 19.146 0.073
5342.94339 18.863 0.086
5343.61482 19.280 0.094
5343.65250 19.203 0.078
5343.69022 18.976 0.051
5343.72830 19.159 0.058
5343.76714 18.983 0.051
5343.80713 18.975 0.050
5343.84565 19.064 0.055
5343.89645 18.969 0.057
5343.93428 19.123 0.077
5348.66221 19.059 0.047
5348.72743 19.219 0.060
5348.79271 18.944 0.042
5348.83103 19.132 0.046
5348.87487 18.979 0.060
5348.91518 18.879 0.044
5349.59049 19.129 0.062
5349.67309 19.250 0.069
5349.74127 18.844 0.049
5349.80624 19.164 0.055
5349.84401 19.072 0.056
5350.64374 19.090 0.063
5350.68146 19.033 0.048
5350.71996 18.932 0.053
5351.57996 19.045 0.053
5351.63742 19.071 0.040
5351.71571 19.115 0.040
5351.80032 19.054 0.051
5351.87843 18.911 0.052
5351.91640 18.973 0.053
5352.64101 18.923 0.038
5352.73195 18.943 0.034
5352.88458 19.063 0.049
5352.92220 18.921 0.046
5353.61966 19.068 0.041
5353.69976 19.010 0.034
5353.76962 19.062 0.040
5353.80768 18.957 0.033
5353.85218 19.210 0.048
