5260.85488 19.662 0.076
5260.90179 19.592 0.076
5261.79300 19.602 0.091
5262.83147 19.442 0.183
5264.81590 20.097 0.129
5264.86911 19.271 0.056
5264.88639 19.556 0.071
5265.79207 20.041 0.118
5266.78019 20.052 0.127
5267.82199 19.833 0.080
5268.79327 19.877 0.102
5269.78810 19.816 0.080
5270.83250 19.872 0.069
5271.78757 19.959 0.091
5272.79441 19.724 0.089
5273.84901 19.807 0.070
5274.79778 19.806 0.084
5275.78351 19.488 0.069
5275.91474 20.187 0.178
5276.81836 19.710 0.066
5277.78459 19.562 0.063
5277.91360 19.769 0.104
5278.79462 19.494 0.069
5279.79517 19.221 0.063
5279.91890 19.909 0.142
5280.84684 19.372 0.052
5281.78237 19.843 0.080
5281.91899 19.573 0.120
5282.76285 19.847 0.099
5282.90750 19.501 0.058
5283.76401 19.885 0.153
5284.76601 19.988 0.141
5285.76165 19.952 0.169
5285.89100 19.773 0.110
5286.75287 19.784 0.117
5287.82252 19.884 0.105
5288.75588 19.872 0.117
5292.82602 19.493 0.126
5293.83400 19.599 0.070
5294.72917 19.538 0.065
5294.74471 19.596 0.071
5294.76830 19.481 0.051
5294.78213 19.536 0.049
5294.80538 19.644 0.055
5294.81932 19.692 0.056
5294.84296 19.762 0.061
5294.84938 19.559 0.050
5294.87301 19.695 0.054
5294.88870 19.731 0.056
5294.91508 19.684 0.062
5295.74569 19.327 0.046
5295.76999 19.375 0.046
5295.78404 19.531 0.051
5295.80842 19.606 0.056
5295.82250 19.645 0.068
5295.84631 19.638 0.053
5295.86047 19.548 0.054
5295.88516 19.618 0.053
5295.89991 19.638 0.056
5296.77290 19.619 0.065
5296.78994 19.358 0.040
5296.81043 19.450 0.043
5296.82443 19.447 0.043
5296.84784 19.435 0.040
5296.86184 19.591 0.043
5296.88594 19.637 0.054
5296.90163 19.655 0.062
5297.76881 19.957 0.075
5297.78306 19.857 0.068
5297.80688 19.430 0.046
5297.82107 19.429 0.043
5297.84475 19.622 0.051
5297.85887 19.402 0.037
5297.88302 19.600 0.048
5297.89804 19.711 0.051
5298.76971 19.962 0.080
5298.78397 20.069 0.087
5298.80765 20.006 0.096
5298.82180 19.760 0.081
5298.84540 19.349 0.052
5298.85975 19.437 0.048
5298.88433 19.626 0.066
5298.89924 19.503 0.049
5298.91845 19.514 0.057
5299.90896 19.432 0.044
5300.83958 20.034 0.089
5300.86315 19.920 0.075
5300.87863 19.696 0.066
5300.90391 19.308 0.044
5300.91811 19.498 0.058
5301.75900 19.984 0.102
5301.77306 19.893 0.088
5301.79648 19.908 0.069
5301.81038 19.870 0.068
5301.83394 19.906 0.079
5301.84792 20.019 0.095
5301.87226 19.963 0.082
5301.88782 19.902 0.083
5301.91243 19.657 0.080
5304.73345 19.880 0.131
5304.75861 19.922 0.119
5304.77276 20.172 0.134
5306.69227 19.570 0.073
5306.70617 19.902 0.090
5306.75501 19.768 0.083
5306.77026 19.941 0.088
5306.79397 19.782 0.068
5306.83336 19.899 0.077
5306.85725 20.031 0.094
5306.87250 19.999 0.084
5306.89717 19.918 0.071
5306.91145 19.916 0.075
5307.68194 19.517 0.072
5307.69590 19.756 0.084
5307.74506 19.680 0.080
5307.75946 19.656 0.066
5307.80653 19.686 0.063
5307.82085 19.712 0.069
5307.84501 19.924 0.089
5307.85957 19.886 0.080
5307.88590 19.744 0.067
5307.89979 19.692 0.065
5307.92332 20.010 0.096
5308.68717 19.478 0.071
5308.73517 19.646 0.090
5308.74904 19.663 0.083
5308.79666 19.775 0.082
5308.81056 19.756 0.069
5308.83413 19.866 0.073
5308.84847 19.853 0.069
5308.87543 19.981 0.084
5309.68343 19.616 0.093
5309.69785 19.531 0.077
5309.74847 19.518 0.063
5309.79080 19.788 0.084
5309.81902 19.743 0.069
5309.83324 19.734 0.068
5309.86314 19.827 0.073
5309.87802 19.791 0.070
5309.90147 19.717 0.066
5309.91547 19.795 0.070
5310.66314 19.629 0.095
5310.68282 19.355 0.072
5310.72910 19.486 0.079
5310.76667 19.415 0.070
5310.78546 19.562 0.069
5310.82906 19.732 0.073
5310.86059 19.500 0.048
5310.87532 19.644 0.059
5310.89888 19.846 0.078
5310.91285 19.837 0.073
5311.78429 19.746 0.125
5311.80310 19.595 0.091
5311.84201 19.708 0.075
5311.86149 19.768 0.083
5311.89152 19.822 0.094
5311.90633 19.786 0.089
5311.93013 19.879 0.133
5312.73040 19.438 0.084
5312.74441 19.461 0.088
5312.77151 19.640 0.107
5312.78678 19.615 0.094
5312.81065 19.637 0.095
5312.82483 19.708 0.095
5312.85518 19.814 0.098
5312.86909 19.632 0.081
5312.89478 19.582 0.071
5312.90867 19.686 0.077
5312.93195 19.816 0.142
5313.77929 19.351 0.090
5313.79315 19.370 0.079
5313.81818 19.541 0.097
5313.83217 19.519 0.095
5313.85783 19.489 0.087
5313.87240 19.829 0.129
5313.89608 19.753 0.111
5313.91016 19.654 0.106
5314.66695 19.569 0.146
5314.68090 19.769 0.145
5314.70740 19.977 0.175
5314.72336 19.822 0.141
5314.74668 20.404 0.224
5314.76303 20.246 0.181
5314.78662 19.776 0.144
5314.80058 19.527 0.085
5314.83058 19.343 0.095
5314.85840 19.554 0.105
5314.88158 19.594 0.108
5314.89556 19.599 0.100
5314.91903 19.574 0.089
5314.93291 19.418 0.109
5315.66057 19.900 0.222
5315.68598 20.333 0.225
5315.71538 19.866 0.138
5315.73389 20.919 0.367
5315.75740 20.283 0.203
5315.77139 20.062 0.191
5315.79477 20.160 0.147
5315.80918 19.705 0.093
5315.83408 19.602 0.124
5315.84908 19.367 0.080
5315.87569 19.444 0.095
5315.89147 19.611 0.102
5315.91498 19.548 0.092
5316.67558 20.097 0.216
5316.69485 19.885 0.180
5316.72273 19.912 0.153
5316.73986 20.125 0.218
5316.76582 20.555 0.315
5316.77971 20.350 0.242
5316.80311 20.278 0.236
5316.81891 20.026 0.205
5316.86001 19.362 0.210
5316.87408 19.189 0.110
5319.82012 19.871 0.203
5319.83505 20.016 0.222
5319.86314 19.912 0.224
5319.87727 19.812 0.200
5319.90725 19.863 0.206
5319.92117 19.560 0.178
5320.63791 19.646 0.093
5320.65738 19.746 0.091
5320.68248 20.114 0.129
5320.69635 19.884 0.124
5320.72641 19.794 0.095
5320.74033 20.057 0.116
5320.76360 19.850 0.091
5320.77778 20.048 0.119
5320.80127 19.946 0.186
5320.81650 20.065 0.144
5320.84455 20.077 0.117
5320.85942 19.971 0.097
5320.88298 19.836 0.090
5320.89685 19.859 0.100
5320.92452 20.046 0.099
5321.65671 19.777 0.138
5321.71072 19.641 0.089
5321.72469 19.923 0.109
5321.74817 20.083 0.122
5321.76321 19.853 0.100
5321.78781 19.973 0.114
5321.80245 19.944 0.107
5321.82570 20.147 0.164
5321.84390 19.925 0.155
5321.86755 20.133 0.125
5321.88153 19.924 0.107
5321.90487 20.040 0.122
5321.91876 20.049 0.111
5322.69118 19.842 0.112
5323.66137 19.495 0.091
5323.67560 19.674 0.108
5323.72760 19.918 0.123
5323.74149 19.725 0.103
5323.76590 19.856 0.102
5323.77984 19.902 0.114
5323.80572 19.764 0.092
5323.82245 19.937 0.101
5323.84718 19.662 0.076
5323.86256 19.874 0.093
5323.88585 19.979 0.098
5323.89995 19.727 0.090
5323.92333 19.928 0.108
5323.93724 19.839 0.148
5324.66413 19.551 0.086
5324.70279 19.537 0.083
5324.72797 19.676 0.085
5324.74194 19.783 0.080
5324.76532 19.618 0.071
5324.77933 19.796 0.101
5324.80411 19.743 0.092
5324.81852 19.850 0.100
5324.84435 19.731 0.084
5324.85838 19.811 0.089
5324.88160 19.951 0.100
5324.89576 19.819 0.077
5324.92239 20.011 0.107
5324.93630 20.269 0.190
5325.64736 19.361 0.061
5325.68451 19.479 0.056
5325.70735 19.608 0.063
5325.72101 19.574 0.055
5325.74401 19.707 0.068
5325.75918 19.769 0.074
5325.78253 19.741 0.064
5325.79646 20.037 0.090
5325.82438 19.935 0.093
5325.84472 19.847 0.083
5325.86948 19.755 0.069
5325.88477 19.831 0.077
5325.90827 19.864 0.093
5325.92524 19.957 0.095
5326.61727 19.531 0.085
5326.63256 19.585 0.101
5326.68240 19.475 0.065
5326.71901 19.660 0.079
5326.74323 19.753 0.075
5326.75708 19.687 0.078
5326.78090 19.735 0.063
5326.79549 19.682 0.061
5326.82046 19.810 0.075
5326.83479 19.709 0.074
5326.85822 19.653 0.065
5326.87345 19.963 0.100
5326.89669 19.816 0.084
5326.91066 19.843 0.085
5326.93586 20.008 0.203
5327.62388 20.058 0.091
5327.68418 19.393 0.057
5327.69826 19.723 0.078
5327.75511 19.652 0.068
5327.76946 19.627 0.069
5327.79401 19.777 0.074
